base_date,emd_nm,pay_amt
2018-01-05,표선면,12591
2018-01-05,화북동,99862
2018-01-05,효돈동,19885
2018-01-06,건입동,49874
2018-01-06,남원읍,35352
2018-01-06,노형동,255531
2018-01-06,대륜동,54366
2018-01-06,대정읍,38461
2018-01-06,대천동,59307
2018-01-06,도두동,14674
2018-01-06,동홍동,110021
2018-01-06,봉개동,14396
2018-01-06,삼도1동,70315
2018-01-06,삼도2동,40375
2018-01-06,삼양동,100979
2018-01-06,서홍동,44209
2018-01-06,성산읍,9697
2018-01-06,송산동,24895
2018-01-06,아라동,115088
2018-01-06,안덕면,8014
2018-01-06,애월읍,9074
2018-01-06,연동,204186
2018-01-06,영천동,23831
2018-01-06,예래동,11546
2018-01-06,오라동,54515
2018-01-06,외도동,95136
2018-01-06,용담1동,44375
2018-01-06,용담2동,69287
2018-01-06,이도1동,52059
2018-01-06,이도2동,248117
2018-01-06,이호동,17184
2018-01-06,일도1동,21905
2018-01-06,일도2동,164833
2018-01-06,정방동,26766
2018-01-06,중문동,52914
2018-01-06,중앙동,53123
2018-01-06,천지동,36187
2018-01-06,표선면,14436
2018-01-06,화북동,118640
2018-01-06,효돈동,20440
2018-01-07,건입동,46867
2018-01-07,남원읍,41662
2018-01-07,노형동,274513
2018-01-07,대륜동,55025
2018-01-07,대정읍,43871
2018-01-07,대천동,49609
2018-01-07,도두동,21455
2018-01-07,동홍동,106739
2018-01-07,봉개동,12077
2018-01-07,삼도1동,73814
2018-01-07,삼도2동,36668
2018-01-07,삼양동,104611
2018-01-07,서홍동,48271
2018-01-07,성산읍,13271
2018-01-07,송산동,20356
2018-01-07,아라동,132221
2018-01-07,안덕면,10126
2018-01-07,애월읍,8250
2018-01-07,연동,212884
2018-01-07,영천동,18022
2018-01-07,예래동,9157
2018-01-07,오라동,61948
2018-01-07,외도동,109102
2018-01-07,용담1동,45892
2018-01-07,용담2동,73859
2018-01-07,이도1동,51401
2018-01-07,이도2동,267876
2018-01-07,이호동,19516
2018-01-07,일도1동,21520
2018-01-07,일도2동,188047
2018-01-07,정방동,23462
2018-01-07,중문동,48916
2018-01-07,중앙동,43717
2018-01-07,천지동,36846
2018-01-07,표선면,9792
2018-01-07,화북동,120717
2018-01-07,효돈동,16284
2018-01-08,건입동,40937
2018-01-08,남원읍,39768
2018-01-08,노형동,260706
2018-01-08,대륜동,62173
2018-01-08,대정읍,40656
2018-01-08,대천동,54844
2018-01-08,도두동,11840
2018-01-08,동홍동,121907
2018-01-08,봉개동,8553
2018-01-08,삼도1동,69880
2018-01-08,삼도2동,39903
2018-01-08,삼양동,96988
2018-01-08,서홍동,52420
2018-01-08,성산읍,11289
2018-01-08,송산동,24751
2018-01-08,아라동,122725
2018-01-08,안덕면,11390
2018-01-08,애월읍,7572
2018-01-08,연동,206438
2018-01-08,영천동,27631
2018-01-08,예래동,11080
2018-01-08,오라동,50686
2018-01-08,외도동,88700
2018-01-08,용담1동,42707
2018-01-08,용담2동,62397
2018-01-08,이도1동,53273
2018-01-08,이도2동,248191
2018-01-08,이호동,18081
2018-01-08,일도1동,21357
2018-01-08,일도2동,171640
2018-01-08,정방동,28526
2018-01-08,중문동,58324
2018-01-08,중앙동,58186
2018-01-08,천지동,41210
2018-01-08,표선면,10231
2018-01-08,화북동,112755
2018-01-08,효돈동,26590
2018-01-09,건입동,46211
2018-01-09,남원읍,38379
2018-01-09,노형동,274939
2018-01-09,대륜동,50819
2018-01-09,대정읍,38320
2018-01-09,대천동,52612
2018-01-09,도두동,15307
2018-01-09,동홍동,111569
2018-01-09,봉개동,8216
2018-01-09,삼도1동,70519
2018-01-09,삼도2동,41276
2018-01-09,삼양동,98169
2018-01-09,서홍동,51969
2018-01-09,성산읍,13129
2018-01-09,송산동,26421
2018-01-09,아라동,117486
2018-01-09,안덕면,9211
2018-01-09,애월읍,6878
2018-01-09,연동,215384
2018-01-09,영천동,42004
2018-01-09,예래동,9030
2018-01-09,오라동,56347
2018-01-09,외도동,95663
2018-01-09,용담1동,37656
2018-01-09,용담2동,68851
2018-01-09,이도1동,52065
2018-01-09,이도2동,248347
2018-01-09,이호동,18793
2018-01-09,일도1동,21698
2018-01-09,일도2동,162834
2018-01-09,정방동,27619
2018-01-09,중문동,44370
2018-01-09,중앙동,51534
2018-01-09,천지동,35022
2018-01-09,표선면,16559
2018-01-09,화북동,118011
2018-01-09,효돈동,18171
2018-01-10,건입동,34515
2018-01-10,남원읍,27650
2018-01-10,노형동,210570
2018-01-10,대륜동,37729
2018-01-10,대정읍,26975
2018-01-10,대천동,34134
2018-01-10,도두동,9595
2018-01-10,동홍동,86043
2018-01-10,봉개동,5911
2018-01-10,삼도1동,51538
2018-01-10,삼도2동,32974
2018-01-10,삼양동,77737
2018-01-10,서홍동,36582
2018-01-10,성산읍,8664
2018-01-10,송산동,16650
2018-01-10,아라동,90890
2018-01-10,안덕면,7591
2018-01-10,애월읍,5601
2018-01-10,연동,165504
2018-01-10,영천동,16791
2018-01-10,예래동,6888
2018-01-10,오라동,42646
2018-01-10,외도동,81032
2018-01-10,용담1동,29306
2018-01-10,용담2동,50473
2018-01-10,이도1동,43854
2018-01-10,이도2동,188328
2018-01-10,이호동,11160
2018-01-10,일도1동,14256
2018-01-10,일도2동,127246
2018-01-10,정방동,20150
2018-01-10,중문동,34161
2018-01-10,중앙동,35084
2018-01-10,천지동,27576
2018-01-10,표선면,8194
2018-01-10,화북동,94094
2018-01-10,효돈동,11859
2018-01-11,건입동,28059
2018-01-11,남원읍,20200
2018-01-11,노형동,200372
2018-01-11,대륜동,35356
2018-01-11,대정읍,24068
2018-01-11,대천동,33389
2018-01-11,도두동,7424
2018-01-11,동홍동,86166
2018-01-11,봉개동,6773
2018-01-11,삼도1동,46059
2018-01-11,삼도2동,27315
2018-01-11,삼양동,70422
2018-01-11,서홍동,38690
2018-01-11,성산읍,3776
2018-01-11,송산동,17564
2018-01-11,아라동,74278
2018-01-11,안덕면,4941
2018-01-11,애월읍,5795
2018-01-11,연동,145128
2018-01-11,영천동,15451
2018-01-11,예래동,5350
2018-01-11,오라동,36951
2018-01-11,외도동,73665
2018-01-11,용담1동,26509
2018-01-11,용담2동,48421
2018-01-11,이도1동,34854
2018-01-11,이도2동,156443
2018-01-11,이호동,9013
2018-01-11,일도1동,12834
2018-01-11,일도2동,113150
2018-01-11,정방동,18311
2018-01-11,중문동,26420
2018-01-11,중앙동,35244
2018-01-11,천지동,28123
2018-01-11,표선면,8078
2018-01-11,화북동,78961
2018-01-11,효돈동,10445
2018-01-12,건입동,42285
2018-01-12,남원읍,34104
2018-01-12,노형동,234195
2018-01-12,대륜동,54364
2018-01-12,대정읍,35242
2018-01-12,대천동,46504
2018-01-12,도두동,11803
2018-01-12,동홍동,130902
2018-01-12,봉개동,8393
2018-01-12,삼도1동,62003
2018-01-12,삼도2동,37053
2018-01-12,삼양동,94580
2018-01-12,서홍동,55809
2018-01-12,성산읍,7659
2018-01-12,송산동,24039
2018-01-12,아라동,95169
2018-01-12,안덕면,9149
2018-01-12,애월읍,6261
2018-01-12,연동,178821
2018-01-12,영천동,23331
2018-01-12,예래동,9152
2018-01-12,오라동,48581
2018-01-12,외도동,94009
2018-01-12,용담1동,33918
2018-01-12,용담2동,58844
2018-01-12,이도1동,38982
2018-01-12,이도2동,208693
2018-01-12,이호동,15783
2018-01-12,일도1동,16159
2018-01-12,일도2동,155671
2018-01-12,정방동,21922
2018-01-12,중문동,38953
2018-01-12,중앙동,51208
2018-01-12,천지동,45196
2018-01-12,표선면,9604
2018-01-12,화북동,109218
2018-01-12,효돈동,15585
2018-01-13,건입동,53764
2018-01-13,남원읍,55491
2018-01-13,노형동,279559
2018-01-13,대륜동,73945
2018-01-13,대정읍,41710
2018-01-13,대천동,66345
2018-01-13,도두동,16235
2018-01-13,동홍동,120981
2018-01-13,봉개동,12198
2018-01-13,삼도1동,82748
2018-01-13,삼도2동,41875
2018-01-13,삼양동,116812
2018-01-13,서홍동,53312
2018-01-13,성산읍,16591
2018-01-13,송산동,25156
2018-01-13,아라동,140570
2018-01-13,안덕면,11737
2018-01-13,애월읍,7333
2018-01-13,연동,218608
2018-01-13,영천동,22009
2018-01-13,예래동,17588
2018-01-13,오라동,61987
2018-01-13,외도동,106401
2018-01-13,용담1동,42595
2018-01-13,용담2동,85848
2018-01-13,이도1동,57065
2018-01-13,이도2동,279242
2018-01-13,이호동,22100
2018-01-13,일도1동,25106
2018-01-13,일도2동,197346
2018-01-13,정방동,29826
2018-01-13,중문동,62429
2018-01-13,중앙동,57650
2018-01-13,천지동,38131
2018-01-13,표선면,18192
2018-01-13,화북동,129758
2018-01-13,효돈동,20241
2018-01-14,건입동,56432
2018-01-14,남원읍,52456
2018-01-14,노형동,320614
2018-01-14,대륜동,68635
2018-01-14,대정읍,46893
2018-01-14,대천동,62813
2018-01-14,도두동,19172
2018-01-14,동홍동,129629
2018-01-14,봉개동,12774
2018-01-14,삼도1동,87693
2018-01-14,삼도2동,49991
2018-01-14,삼양동,126308
2018-01-14,서홍동,46504
2018-01-14,성산읍,14097
2018-01-14,송산동,20001
2018-01-14,아라동,143456
2018-01-14,안덕면,13574
2018-01-14,애월읍,10109
2018-01-14,연동,255388
2018-01-14,영천동,35671
2018-01-14,예래동,18963
2018-01-14,오라동,72634
2018-01-14,외도동,121094
2018-01-14,용담1동,53128
2018-01-14,용담2동,84276
2018-01-14,이도1동,56645
2018-01-14,이도2동,321211
2018-01-14,이호동,21409
2018-01-14,일도1동,23358
2018-01-14,일도2동,223022
2018-01-14,정방동,24865
2018-01-14,중문동,63721
2018-01-14,중앙동,51622
2018-01-14,천지동,39303
2018-01-14,표선면,7433
2018-01-14,화북동,132268
2018-01-14,효돈동,18620
2018-01-15,건입동,50931
2018-01-15,남원읍,45242
2018-01-15,노형동,285902
2018-01-15,대륜동,58262
2018-01-15,대정읍,41526
2018-01-15,대천동,59460
2018-01-15,도두동,13927
2018-01-15,동홍동,117825
2018-01-15,봉개동,13213
2018-01-15,삼도1동,76184
2018-01-15,삼도2동,40265
2018-01-15,삼양동,109907
2018-01-15,서홍동,48555
2018-01-15,성산읍,12971
2018-01-15,송산동,18291
2018-01-15,아라동,134341
2018-01-15,안덕면,14940
2018-01-15,애월읍,9025
2018-01-15,연동,214594
2018-01-15,영천동,20426
2018-01-15,예래동,12311
2018-01-15,오라동,57741
2018-01-15,외도동,98179
2018-01-15,용담1동,36191
2018-01-15,용담2동,76516
2018-01-15,이도1동,58666
2018-01-15,이도2동,265687
2018-01-15,이호동,20875
2018-01-15,일도1동,26379
2018-01-15,일도2동,194957
2018-01-15,정방동,27387
2018-01-15,중문동,56061
2018-01-15,중앙동,56872
2018-01-15,천지동,42335
2018-01-15,표선면,17637
2018-01-15,화북동,119036
2018-01-15,효돈동,17769
2018-01-16,건입동,35063
2018-01-16,남원읍,28419
2018-01-16,노형동,213694
2018-01-16,대륜동,47184
2018-01-16,대정읍,31441
2018-01-16,대천동,38264
2018-01-16,도두동,9793
2018-01-16,동홍동,84447
2018-01-16,봉개동,7761
2018-01-16,삼도1동,50235
2018-01-16,삼도2동,30768
2018-01-16,삼양동,72945
2018-01-16,서홍동,35288
2018-01-16,성산읍,7154
2018-01-16,송산동,18909
2018-01-16,아라동,93171
2018-01-16,안덕면,8851
2018-01-16,애월읍,5574
2018-01-16,연동,165814
2018-01-16,영천동,15776
2018-01-16,예래동,8224
2018-01-16,오라동,37722
2018-01-16,외도동,75821
2018-01-16,용담1동,33913
2018-01-16,용담2동,47701
2018-01-16,이도1동,45364
2018-01-16,이도2동,196616
2018-01-16,이호동,12901
2018-01-16,일도1동,15209
2018-01-16,일도2동,130779
2018-01-16,정방동,21871
2018-01-16,중문동,37033
2018-01-16,중앙동,38605
2018-01-16,천지동,26714
2018-01-16,표선면,6133
2018-01-16,화북동,89850
2018-01-16,효돈동,13625
2018-01-17,건입동,50729
2018-01-17,남원읍,46212
2018-01-17,노형동,280865
2018-01-17,대륜동,63415
2018-01-17,대정읍,48933
2018-01-17,대천동,65807
2018-01-17,도두동,20321
2018-01-17,동홍동,136157
2018-01-17,봉개동,11203
2018-01-17,삼도1동,78950
2018-01-17,삼도2동,43296
2018-01-17,삼양동,110483
2018-01-17,서홍동,51393
2018-01-17,성산읍,13928
2018-01-17,송산동,22761
2018-01-17,아라동,129736
2018-01-17,안덕면,10616
2018-01-17,애월읍,8014
2018-01-17,연동,220840
2018-01-17,영천동,34070
2018-01-17,예래동,14855
2018-01-17,오라동,55523
2018-01-17,외도동,103806
2018-01-17,용담1동,45313
2018-01-17,용담2동,70076
2018-01-17,이도1동,51626
2018-01-17,이도2동,266681
2018-01-17,이호동,18697
2018-01-17,일도1동,23993
2018-01-17,일도2동,190203
2018-01-17,정방동,32287
2018-01-17,중문동,59420
2018-01-17,중앙동,62956
2018-01-17,천지동,44759
2018-01-17,표선면,15320
2018-01-17,화북동,122020
2018-01-17,효돈동,26015
2018-01-18,건입동,45331
2018-01-18,남원읍,48163
2018-01-18,노형동,258948
2018-01-18,대륜동,57716
2018-01-18,대정읍,37604
2018-01-18,대천동,50883
2018-01-18,도두동,16510
2018-01-18,동홍동,117678
2018-01-18,봉개동,10640
2018-01-18,삼도1동,72379
2018-01-18,삼도2동,44050
2018-01-18,삼양동,96771
2018-01-18,서홍동,46369
2018-01-18,성산읍,8772
2018-01-18,송산동,25284
2018-01-18,아라동,124198
2018-01-18,안덕면,9293
2018-01-18,애월읍,7906
2018-01-18,연동,199709
2018-01-18,영천동,24964
2018-01-18,예래동,13302
2018-01-18,오라동,53156
2018-01-18,외도동,88242
2018-01-18,용담1동,46947
2018-01-18,용담2동,68983
2018-01-18,이도1동,56554
2018-01-18,이도2동,248986
2018-01-18,이호동,17510
2018-01-18,일도1동,21228
2018-01-18,일도2동,156777
2018-01-18,정방동,25815
2018-01-18,중문동,45042
2018-01-18,중앙동,57665
2018-01-18,천지동,37742
2018-01-18,표선면,13774
2018-01-18,화북동,110739
2018-01-18,효돈동,22827
2018-01-19,건입동,47406
2018-01-19,남원읍,45921
2018-01-19,노형동,250719
2018-01-19,대륜동,55554
2018-01-19,대정읍,45430
2018-01-19,대천동,54808
2018-01-19,도두동,9939
2018-01-19,동홍동,109011
2018-01-19,봉개동,11744
2018-01-19,삼도1동,71480
2018-01-19,삼도2동,37949
2018-01-19,삼양동,89938
2018-01-19,서홍동,42435
2018-01-19,성산읍,13612
2018-01-19,송산동,23871
2018-01-19,아라동,108465
2018-01-19,안덕면,7700
2018-01-19,애월읍,7001
2018-01-19,연동,206941
2018-01-19,영천동,33111
2018-01-19,예래동,12732
2018-01-19,오라동,50515
2018-01-19,외도동,91944
2018-01-19,용담1동,34944
2018-01-19,용담2동,68150
2018-01-19,이도1동,48585
2018-01-19,이도2동,237078
2018-01-19,이호동,16217
2018-01-19,일도1동,24053
2018-01-19,일도2동,165419
2018-01-19,정방동,27975
2018-01-19,중문동,55749
2018-01-19,중앙동,51558
2018-01-19,천지동,38475
2018-01-19,표선면,14347
2018-01-19,화북동,105577
2018-01-19,효돈동,20456
2018-01-20,건입동,43736
2018-01-20,남원읍,48355
2018-01-20,노형동,241851
2018-01-20,대륜동,50516
2018-01-20,대정읍,41231
2018-01-20,대천동,54876
2018-01-20,도두동,12799
2018-01-20,동홍동,119254
2018-01-20,봉개동,10291
2018-01-20,삼도1동,68270
2018-01-20,삼도2동,36179
2018-01-20,삼양동,98652
2018-01-20,서홍동,42009
2018-01-20,성산읍,10439
2018-01-20,송산동,21837
2018-01-20,아라동,115388
2018-01-20,안덕면,9781
2018-01-20,애월읍,6336
2018-01-20,연동,194815
2018-01-20,영천동,24349
2018-01-20,예래동,12353
2018-01-20,오라동,56856
2018-01-20,외도동,82201
2018-01-20,용담1동,39403
2018-01-20,용담2동,65932
2018-01-20,이도1동,43271
2018-01-20,이도2동,231094
2018-01-20,이호동,15068
2018-01-20,일도1동,22231
2018-01-20,일도2동,158086
2018-01-20,정방동,26273
2018-01-20,중문동,51048
2018-01-20,중앙동,55239
2018-01-20,천지동,40043
2018-01-20,표선면,12264
2018-01-20,화북동,107413
2018-01-20,효돈동,21654
2018-01-21,건입동,51335
2018-01-21,남원읍,39666
2018-01-21,노형동,285602
2018-01-21,대륜동,58335
2018-01-21,대정읍,39263
2018-01-21,대천동,56586
2018-01-21,도두동,17287
2018-01-21,동홍동,124000
2018-01-21,봉개동,14008
2018-01-21,삼도1동,81506
2018-01-21,삼도2동,43186
2018-01-21,삼양동,116074
2018-01-21,서홍동,47296
2018-01-21,성산읍,9046
2018-01-21,송산동,21571
2018-01-21,아라동,129447
2018-01-21,안덕면,11632
2018-01-21,애월읍,9282
2018-01-21,연동,225787
2018-01-21,영천동,27587
2018-01-21,예래동,9749
2018-01-21,오라동,60948
2018-01-21,외도동,108874
2018-01-21,용담1동,45799
2018-01-21,용담2동,84050
2018-01-21,이도1동,59323
2018-01-21,이도2동,289766
2018-01-21,이호동,21351
2018-01-21,일도1동,24608
2018-01-21,일도2동,210013
2018-01-21,정방동,26848
2018-01-21,중문동,59862
2018-01-21,중앙동,49287
2018-01-21,천지동,35035
2018-01-21,표선면,10167
2018-01-21,화북동,130568
2018-01-21,효돈동,18534
2018-01-22,건입동,47435
2018-01-22,남원읍,44504
2018-01-22,노형동,258424
2018-01-22,대륜동,54393
2018-01-22,대정읍,42140
2018-01-22,대천동,50060
2018-01-22,도두동,17040
2018-01-22,동홍동,122987
2018-01-22,봉개동,8936
2018-01-22,삼도1동,67504
2018-01-22,삼도2동,37534
2018-01-22,삼양동,97119
2018-01-22,서홍동,44402
2018-01-22,성산읍,12136
2018-01-22,송산동,21252
2018-01-22,아라동,122526
2018-01-22,안덕면,10698
2018-01-22,애월읍,8348
2018-01-22,연동,200910
2018-01-22,영천동,25793
2018-01-22,예래동,12288
2018-01-22,오라동,51802
2018-01-22,외도동,93215
2018-01-22,용담1동,41806
2018-01-22,용담2동,66116
2018-01-22,이도1동,52764
2018-01-22,이도2동,246779
2018-01-22,이호동,17543
2018-01-22,일도1동,22686
2018-01-22,일도2동,168259
2018-01-22,정방동,24873
2018-01-22,중문동,52454
2018-01-22,중앙동,54923
2018-01-22,천지동,37498
2018-01-22,표선면,13608
2018-01-22,화북동,112680
2018-01-22,효돈동,17844
2018-01-23,건입동,38834
2018-01-23,남원읍,40495
2018-01-23,노형동,233551
2018-01-23,대륜동,49511
2018-01-23,대정읍,43039
2018-01-23,대천동,46664
2018-01-23,도두동,10900
2018-01-23,동홍동,103326
2018-01-23,봉개동,8073
2018-01-23,삼도1동,64587
2018-01-23,삼도2동,31322
2018-01-23,삼양동,83126
2018-01-23,서홍동,44095
2018-01-23,성산읍,9407
2018-01-23,송산동,20827
2018-01-23,아라동,104933
2018-01-23,안덕면,8169
2018-01-23,애월읍,5023
2018-01-23,연동,190604
2018-01-23,영천동,26380
2018-01-23,예래동,12265
2018-01-23,오라동,42998
2018-01-23,외도동,81479
2018-01-23,용담1동,34859
2018-01-23,용담2동,59654
2018-01-23,이도1동,45193
2018-01-23,이도2동,199146
2018-01-23,이호동,13090
2018-01-23,일도1동,20597
2018-01-23,일도2동,146003
2018-01-23,정방동,27493
2018-01-23,중문동,46634
2018-01-23,중앙동,58323
2018-01-23,천지동,40261
2018-01-23,표선면,10018
2018-01-23,화북동,95565
2018-01-23,효돈동,12445
2018-01-24,건입동,34029
2018-01-24,남원읍,29295
2018-01-24,노형동,220561
2018-01-24,대륜동,49725
2018-01-24,대정읍,29249
2018-01-24,대천동,43277
2018-01-24,도두동,9437
2018-01-24,동홍동,107331
2018-01-24,봉개동,5574
2018-01-24,삼도1동,53735
2018-01-24,삼도2동,30867
2018-01-24,삼양동,78420
2018-01-24,서홍동,40466
2018-01-24,성산읍,10987
2018-01-24,송산동,23553
2018-01-24,아라동,85419
2018-01-24,안덕면,9856
2018-01-24,애월읍,6855
2018-01-24,연동,163770
2018-01-24,영천동,29386
2018-01-24,예래동,7921
2018-01-24,오라동,43619
2018-01-24,외도동,74300
2018-01-24,용담1동,28255
2018-01-24,용담2동,46900
2018-01-24,이도1동,41127
2018-01-24,이도2동,180484
2018-01-24,이호동,16872
2018-01-24,일도1동,17803
2018-01-24,일도2동,115968
2018-01-24,정방동,25052
2018-01-24,중문동,39779
2018-01-24,중앙동,53597
2018-01-24,천지동,39503
2018-01-24,표선면,9901
2018-01-24,화북동,89369
2018-01-24,효돈동,17197
2018-01-25,건입동,32967
2018-01-25,남원읍,34504
2018-01-25,노형동,219902
2018-01-25,대륜동,52739
2018-01-25,대정읍,36029
2018-01-25,대천동,47777
2018-01-25,도두동,10677
2018-01-25,동홍동,109303
2018-01-25,봉개동,7416
2018-01-25,삼도1동,59583
2018-01-25,삼도2동,32045
2018-01-25,삼양동,87556
2018-01-25,서홍동,39557
2018-01-25,성산읍,9623
2018-01-25,송산동,20305
2018-01-25,아라동,91141
2018-01-25,안덕면,7279
2018-01-25,애월읍,6100
2018-01-25,연동,179538
2018-01-25,영천동,23196
2018-01-25,예래동,6429
2018-01-25,오라동,48804
2018-01-25,외도동,76263
2018-01-25,용담1동,37485
2018-01-25,용담2동,61156
2018-01-25,이도1동,48356
2018-01-25,이도2동,214844
2018-01-25,이호동,14531
2018-01-25,일도1동,17806
2018-01-25,일도2동,133799
2018-01-25,정방동,26882
2018-01-25,중문동,45725
2018-01-25,중앙동,56225
2018-01-25,천지동,34026
2018-01-25,표선면,11657
2018-01-25,화북동,91940
2018-01-25,효돈동,17469
2018-01-26,건입동,42338
2018-01-26,남원읍,41705
2018-01-26,노형동,224170
2018-01-26,대륜동,50323
2018-01-26,대정읍,26282
2018-01-26,대천동,43781
2018-01-26,도두동,12668
2018-01-26,동홍동,102373
2018-01-26,봉개동,8249
2018-01-26,삼도1동,54304
2018-01-26,삼도2동,37193
2018-01-26,삼양동,84311
2018-01-26,서홍동,38519
2018-01-26,성산읍,10896
2018-01-26,송산동,20276
2018-01-26,아라동,103489
2018-01-26,안덕면,8480
2018-01-26,애월읍,7191
2018-01-26,연동,171858
2018-01-26,영천동,26420
2018-01-26,예래동,10370
2018-01-26,오라동,44407
2018-01-26,외도동,74762
2018-01-26,용담1동,32320
2018-01-26,용담2동,57018
2018-01-26,이도1동,40535
2018-01-26,이도2동,207173
2018-01-26,이호동,16108
2018-01-26,일도1동,18498
2018-01-26,일도2동,149416
2018-01-26,정방동,25381
2018-01-26,중문동,44907
2018-01-26,중앙동,49900
